,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,risk_factor,emp_length,annual_inc,total_debt,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_credit_rv,dti,loan_is_bad_num,loan_currency_num,K3 - Predicted,K8 - Predicted
3035,11850,11850,11850.0,36,13.11,399.91,-2,1.0,39740.0,9323.0,0,0,34.0,0.0,8,0,3311,89.5,35,0.0,0.0,14257.17731,14257.18,11850.0,2407.18,0.0,0.0,0.0,3469.4,0,0.0,1,0,175.0,112770.0,3700.0,0.235,0,0,2,1
3038,7200,7200,7200.0,36,13.11,242.98,-2,5.0,40000.0,8220.0,0,3,68.0,0.0,8,0,14967,32.2,13,0.0,0.0,8366.509581,8366.51,7200.0,1166.51,0.0,0.0,0.0,3997.35,0,68.0,1,0,0.0,37865.0,46500.0,0.206,0,0,2,1
3041,4300,4300,4300.0,36,13.11,145.12,-2,4.0,33000.0,8900.1,1,0,14.0,0.0,11,0,13667,66.7,26,0.0,0.0,4981.186218,4981.19,4300.0,681.19,0.0,0.0,0.0,1155.6,0,25.0,1,0,0.0,150643.0,20500.0,0.27,0,0,2,1
3046,7500,7500,7500.0,36,13.11,253.11,-2,10.0,70000.0,15939.0,0,3,0.0,0.0,14,0,28779,78.2,20,0.0,0.0,9111.617982,9111.62,7500.0,1611.62,0.0,0.0,0.0,252.76,0,0.0,1,0,0.0,156354.0,36800.0,0.228,0,0,2,1
3048,3600,3600,3600.0,36,13.11,121.49,-2,10.0,70000.0,16702.0,1,0,8.0,0.0,9,0,23693,80.3,21,0.0,0.0,4371.730173,4371.73,3600.0,771.73,0.0,0.0,0.0,126.62,0,0.0,1,0,0.0,286350.0,29500.0,0.239,0,0,2,1
3050,10000,10000,10000.0,36,13.11,337.47,-2,8.0,118200.0,14266.74,0,3,40.0,0.0,10,0,11335,64.8,23,0.0,0.0,10802.15,10802.15,10000.0,802.15,0.0,0.0,0.0,8442.54,0,41.0,1,0,0.0,179638.0,17500.0,0.121,0,0,2,1
3052,10000,10000,10000.0,36,13.11,337.47,-2,7.0,83000.0,14840.4,0,3,0.0,0.0,9,0,3761,62.7,15,64.59,64.59,12086.76,12086.76,9935.41,2151.35,0.0,0.0,0.0,324.59,0,0.0,1,0,794.0,326842.0,6000.0,0.179,1,1,2,1
3056,1500,1500,1500.0,36,13.11,50.63,-2,10.0,100000.0,22910.0,0,3,0.0,0.0,11,0,10793,79.9,35,0.0,0.0,1821.6667260000002,1821.67,1500.0,321.67,0.0,0.0,0.0,51.86,0,0.0,1,0,0.0,39479.0,13500.0,0.229,0,0,2,1
3057,12500,12500,12500.0,36,13.11,421.84,-2,0.0,52584.0,12830.5,0,0,66.0,0.0,11,0,7555,56.8,21,0.0,0.0,15183.348090000001,15183.35,12500.0,2683.35,0.0,0.0,0.0,429.35,0,66.0,1,0,467.0,166137.0,13300.0,0.244,0,0,2,1
3060,12000,12000,12000.0,36,13.11,404.97,-2,10.0,99000.0,23195.7,0,0,54.0,0.0,13,0,16552,82.8,29,0.0,0.0,14575.74826,14575.75,12000.0,2575.75,0.0,0.0,0.0,412.68,0,54.0,1,0,0.0,346743.0,20000.0,0.234,0,0,2,1
3063,8400,8400,8150.0,36,13.11,283.48,-2,3.0,51000.0,13499.7,0,0,0.0,0.0,22,0,10335,66.2,33,0.0,0.0,10203.50853,9899.82,8400.0,1803.51,0.0,0.0,0.0,287.47,0,0.0,1,0,0.0,81263.0,15600.0,0.265,0,0,2,1
3066,10400,10400,10400.0,36,13.11,350.97,-2,10.0,55000.0,9944.0,0,0,0.0,0.0,11,0,16787,54.5,42,0.0,0.0,11233.68,11233.68,10400.0,833.68,0.0,0.0,0.0,8782.65,0,0.0,1,0,0.0,16787.0,30800.0,0.181,0,0,2,1
3072,9500,9500,9500.0,36,13.11,320.6,-2,0.0,34572.0,9130.47,0,2,0.0,0.0,10,0,16517,83.0,27,0.0,0.0,10923.151409999999,10923.15,9500.0,1423.15,0.0,0.0,0.0,5796.59,0,0.0,1,0,0.0,89997.0,19900.0,0.264,0,0,2,1
3080,5650,5650,5650.0,36,13.11,190.68,-2,5.0,90000.0,13869.0,0,2,36.0,0.0,12,0,3770,37.3,30,0.0,0.0,6597.694861,6597.69,5650.0,947.69,0.0,0.0,0.0,2977.65,0,36.0,1,0,0.0,77754.0,10100.0,0.154,0,0,2,1
3082,7550,7550,7550.0,36,13.11,254.79,-2,10.0,52000.0,18122.0,0,0,56.0,0.0,16,0,25969,84.6,52,0.0,0.0,9171.018682,9171.02,7550.0,1621.02,0.0,0.0,0.0,258.65,0,56.0,1,0,0.0,246400.0,30700.0,0.348,0,0,2,1
3088,8000,8000,8000.0,36,13.11,269.98,-2,4.0,110000.0,16137.0,0,0,26.0,0.0,15,0,11462,79.0,37,0.0,0.0,9663.038906,9663.04,8000.0,1663.04,0.0,0.0,0.0,1839.54,0,26.0,1,0,0.0,241419.0,14500.0,0.147,0,0,2,1
3089,16875,16875,16875.0,36,13.11,569.48,-2,4.0,43000.0,14589.9,0,0,0.0,0.0,8,0,16009,79.6,24,0.0,0.0,3703.55,3703.55,1967.66,879.04,0.0,856.85,8.54,569.48,0,0.0,1,0,0.0,48779.0,20100.0,0.339,1,0,2,1
3097,8000,8000,8000.0,36,13.11,269.98,-2,7.0,56400.0,11567.64,0,2,0.0,0.0,12,0,6871,44.9,26,0.0,0.0,9295.952221,9295.95,8000.0,1295.95,0.0,0.0,0.0,4441.91,0,0.0,1,0,51.0,105515.0,15300.0,0.205,0,0,2,1
3099,10000,10000,10000.0,36,13.11,337.47,-2,10.0,65000.0,9925.5,0,1,0.0,0.0,9,0,22817,91.3,30,0.0,0.0,12148.0529,12148.05,10000.0,2148.05,0.0,0.0,0.0,339.8,0,0.0,1,0,0.0,166060.0,25000.0,0.153,0,0,2,1
3112,14600,14600,14600.0,36,13.11,492.71,-2,7.0,45800.0,15539.94,0,0,0.0,0.0,17,0,30459,65.9,63,0.0,0.0,17737.36744,17737.37,14600.0,3137.37,0.0,0.0,0.0,492.51,0,0.0,1,0,0.0,379698.0,46200.0,0.339,0,0,2,1
3115,4525,4525,4525.0,36,13.11,152.71,-2,10.0,62000.0,15146.6,0,1,0.0,0.0,16,0,24657,77.5,34,0.0,0.0,4927.87,4927.87,4525.0,402.87,0.0,0.0,0.0,3708.14,0,0.0,1,0,0.0,316912.0,31800.0,0.244,0,0,2,1
3117,8000,8000,8000.0,36,13.11,269.98,-2,10.0,49000.0,10177.3,0,0,72.0,0.0,10,0,26031,82.4,25,0.0,0.0,9694.067842,9694.07,8000.0,1694.07,0.0,0.0,0.0,1326.13,0,0.0,1,0,0.0,173325.0,31600.0,0.208,0,0,2,1
3119,10000,10000,10000.0,36,13.11,337.47,-2,2.0,32000.0,10992.0,0,0,0.0,0.0,12,0,10693,87.6,16,0.0,0.0,11732.06918,11732.07,10000.0,1732.07,0.0,0.0,0.0,4984.59,0,0.0,1,0,77.0,55845.0,12200.0,0.344,0,0,2,1
3120,9950,9950,9950.0,36,13.11,335.79,-2,10.0,30000.0,8868.0,0,0,76.0,0.0,15,0,21018,65.3,23,0.0,0.0,12087.88788,12087.89,9950.0,2137.89,0.0,0.0,0.0,336.04,0,76.0,1,0,0.0,21018.0,32200.0,0.29600000000000004,0,0,2,1
3121,12000,12000,12000.0,36,13.11,404.97,-2,5.0,72000.0,24127.2,0,1,0.0,0.0,19,0,18679,38.8,40,0.0,0.0,12904.45,12904.45,12000.0,904.45,0.0,0.0,0.0,107.27,0,0.0,1,0,0.0,80206.0,48100.0,0.335,0,0,2,1
3123,12000,12000,12000.0,36,13.11,404.97,-2,1.0,84780.0,18193.79,2,3,22.0,0.0,20,0,5753,36.2,45,0.0,0.0,14014.11801,14014.12,12000.0,2014.12,0.0,0.0,0.0,6320.97,0,22.0,1,0,0.0,63839.0,15900.0,0.215,0,0,2,1
3129,8025,8025,8025.0,36,13.11,270.82,-2,10.0,52000.0,14414.4,1,0,21.0,0.0,13,0,13535,54.4,38,0.0,0.0,6927.87,6927.87,4993.49,1504.59,0.0,429.79,77.3622,270.82,0,0.0,1,0,0.0,105075.0,24900.0,0.277,1,0,2,1
3132,8875,8875,8875.0,36,13.11,299.51,-2,6.0,35000.0,10115.0,0,0,60.0,0.0,16,0,9269,51.2,29,0.0,0.0,9665.66,9665.66,8875.0,790.66,0.0,0.0,0.0,7270.81,0,0.0,1,0,0.0,189129.0,18100.0,0.289,0,0,2,1
3134,8325,8325,8325.0,36,13.11,280.95,-2,3.0,24000.0,6144.0,0,0,0.0,0.0,13,0,11265,79.9,35,0.0,0.0,9912.610615000001,9912.61,8325.0,1587.61,0.0,0.0,0.0,1672.37,0,0.0,1,0,0.0,37057.0,14100.0,0.256,0,0,2,1
3135,11100,11100,11100.0,36,13.11,374.6,-2,4.0,38000.0,12984.6,0,2,0.0,0.0,16,0,13826,39.1,40,0.0,0.0,13484.87681,13484.88,11100.0,2384.88,0.0,0.0,0.0,375.16,0,0.0,1,0,0.0,105321.0,35400.0,0.342,0,0,2,1
3143,5675,5675,5675.0,36,13.11,191.52,-2,7.0,27000.0,7416.9,0,0,41.0,0.0,7,0,5788,64.3,24,0.0,0.0,6893.734987999997,6893.73,5675.0,1218.73,0.0,0.0,0.0,193.25,0,80.0,1,0,662.0,13845.0,9000.0,0.275,0,0,2,1
3152,12000,12000,12000.0,36,13.11,404.97,-2,3.0,50000.0,13930.0,0,0,49.0,0.0,14,0,8275,63.7,28,0.0,0.0,14499.941219999999,14499.94,12000.0,2499.94,0.0,0.0,0.0,159.05,0,66.0,1,0,0.0,102819.0,13000.0,0.279,0,0,2,1
3167,8000,8000,8000.0,36,13.11,269.98,-2,10.0,64000.0,14073.6,0,1,0.0,0.0,13,0,12406,70.1,23,0.0,0.0,9717.30705,9717.31,8000.0,1717.31,0.0,0.0,0.0,274.73,0,0.0,1,0,0.0,35625.0,17700.0,0.22,0,0,2,1
3173,8000,8000,7750.0,36,13.11,269.98,-2,9.0,50000.0,7345.0,0,0,34.0,0.0,13,0,6376,26.9,24,0.0,0.0,9700.276292,9397.13,8000.0,1700.28,0.0,0.0,0.0,1066.36,0,34.0,1,0,0.0,185665.0,23709.0,0.147,0,0,2,1
3175,12000,12000,12000.0,36,13.11,404.97,-2,9.0,55000.0,7342.5,0,0,0.0,0.0,21,0,14752,55.7,32,0.0,0.0,12962.67,12962.67,12000.0,962.67,0.0,0.0,0.0,10130.66,0,0.0,1,0,0.0,142388.0,26500.0,0.134,0,0,2,1
3176,12000,12000,12000.0,36,13.11,404.97,-2,10.0,50000.0,8425.0,0,1,0.0,0.0,11,0,17548,82.4,20,0.0,0.0,7125.05,7125.05,4433.2,1635.35,0.0,1056.5,10.565,404.97,0,0.0,1,0,0.0,229247.0,21300.0,0.168,1,0,2,1
3177,2750,2750,2750.0,36,13.11,92.81,-2,7.0,36000.0,9936.0,1,0,7.0,0.0,13,0,11793,53.8,24,0.0,0.0,3340.011496,3340.01,2750.0,590.01,0.0,0.0,0.0,95.02,0,0.0,1,0,0.0,183450.0,21900.0,0.276,0,0,2,1
3181,4550,4550,4550.0,36,13.11,153.55,-2,2.0,70000.0,13237.0,1,0,7.0,0.0,17,0,27814,40.5,41,0.0,0.0,5526.977167,5526.98,4550.0,976.98,0.0,0.0,0.0,155.61,0,0.0,1,0,0.0,90409.0,68700.0,0.189,0,0,2,1
3182,4750,4750,4750.0,36,13.11,160.3,-2,10.0,85300.0,28984.94,0,0,73.0,0.0,19,0,24896,72.2,32,0.0,0.0,5769.356052,5769.36,4750.0,1019.36,0.0,0.0,0.0,163.98,0,0.0,1,0,0.0,320124.0,34500.0,0.34,0,0,2,1
3188,10000,10000,10000.0,36,13.11,337.47,-2,4.0,59000.0,9687.8,0,0,0.0,0.0,13,0,17951,57.0,25,0.0,0.0,12146.948859999999,12146.95,10000.0,2146.95,0.0,0.0,0.0,342.86,0,0.0,1,0,0.0,340074.0,31500.0,0.16399999999999998,0,0,2,1
3189,11500,11500,11500.0,36,13.11,388.1,-2,6.0,40000.0,12768.0,0,0,0.0,0.0,8,0,21217,96.0,18,0.0,0.0,13970.7386,13970.74,11500.0,2470.74,0.0,0.0,0.0,388.84,0,0.0,1,0,0.0,37428.0,22100.0,0.319,0,0,2,1
3190,5650,5650,5650.0,36,13.11,190.68,-2,10.0,93000.0,18348.9,0,2,31.0,0.0,17,0,19249,74.6,27,0.0,0.0,6848.181119,6848.18,5650.0,1198.18,0.0,0.0,0.0,941.58,0,0.0,1,0,0.0,116918.0,25800.0,0.197,0,0,2,1
3191,6000,6000,6000.0,36,13.11,202.49,-2,2.0,77000.0,9216.9,0,1,69.0,0.0,5,0,18856,82.0,15,0.0,0.0,7068.194777,7068.19,6000.0,1068.19,0.0,0.0,0.0,2822.63,0,69.0,1,0,0.0,172485.0,23000.0,0.12,0,0,2,1
3198,9000,9000,9000.0,36,13.11,303.73,-2,1.0,40000.0,7500.0,1,0,23.0,0.0,20,0,4902,67.2,45,0.0,0.0,10885.82785,10885.83,9000.0,1885.83,0.0,0.0,0.0,775.37,0,0.0,1,0,0.0,84293.0,7300.0,0.188,0,0,2,1
3199,3000,3000,3000.0,36,13.11,101.25,-2,10.0,51000.0,12887.7,0,3,36.0,0.0,10,0,11264,63.6,16,0.0,0.0,3643.1991810000004,3643.2,3000.0,643.2,0.0,0.0,0.0,104.73,0,36.0,1,0,0.0,45167.0,17700.0,0.253,0,0,2,1
3203,13250,13250,13250.0,36,13.11,447.15,-2,2.0,50000.0,9300.0,0,3,0.0,0.0,14,0,3935,31.2,19,0.0,0.0,15623.45121,15623.45,13250.0,2373.45,0.0,0.0,0.0,345.08,0,0.0,1,0,0.0,184459.0,12600.0,0.18600000000000005,0,0,2,1
3205,12000,12000,12000.0,36,13.11,404.97,-2,10.0,130000.0,28262.0,1,2,19.0,0.0,16,0,14271,80.2,36,0.0,0.0,14576.172880000002,14576.17,12000.0,2576.17,0.0,0.0,0.0,411.5,0,0.0,1,0,0.0,340204.0,17800.0,0.217,0,0,2,1
3208,8000,8000,8000.0,36,13.11,269.98,-2,5.0,69000.0,8949.3,0,0,78.0,0.0,7,0,21486,81.7,16,0.0,0.0,9565.670759999999,9565.67,8000.0,1565.67,0.0,0.0,0.0,2819.37,0,78.0,1,0,0.0,118536.0,26300.0,0.13,0,0,2,1
3225,7025,7025,7025.0,36,13.11,237.08,-2,10.0,80000.0,12736.0,0,1,41.0,0.0,9,0,7042,72.6,26,0.0,0.0,8396.56518,8396.57,7025.0,1371.57,0.0,0.0,0.0,2475.49,0,0.0,1,0,0.0,297247.0,9700.0,0.159,0,0,2,1
3232,4500,4500,4500.0,36,13.11,151.87,-2,5.0,120000.0,9888.0,0,2,78.0,0.0,12,0,15343,77.5,33,0.0,0.0,5465.873616,5465.87,4500.0,965.87,0.0,0.0,0.0,154.5,0,78.0,1,0,0.0,214802.0,19800.0,0.08199999999999999,0,0,2,1
3235,7925,7925,7650.0,36,13.11,267.45,-2,5.0,35963.12,8559.22,3,0,14.0,0.0,7,0,3255,77.5,31,0.0,0.0,9603.850764,9270.57,7925.0,1678.85,0.0,0.0,0.0,1316.1,0,14.0,1,0,0.0,153333.0,4200.0,0.238,0,0,2,1
3240,10000,10000,10000.0,36,13.11,337.47,-2,10.0,40000.0,9432.0,0,2,0.0,0.0,13,0,12168,60.8,13,0.0,0.0,12146.14836,12146.15,10000.0,2146.15,0.0,0.0,0.0,345.24,0,0.0,1,0,0.0,29309.0,20000.0,0.236,0,0,2,1
3244,10625,10625,10625.0,36,13.11,358.57,-2,5.0,45000.0,9504.0,0,0,53.0,0.0,6,0,9461,86.8,17,0.0,0.0,12072.68,12072.68,10625.0,1447.68,0.0,0.0,0.0,7062.69,0,53.0,1,0,0.0,11293.0,10900.0,0.211,0,0,2,1
3251,9975,9975,9675.0,36,13.11,336.63,-2,4.0,80000.0,9120.0,5,2,9.0,0.0,7,0,1003,31.3,23,0.0,0.0,12109.27401,11745.04,9975.0,2134.27,0.0,0.0,0.0,259.9,0,0.0,1,0,0.0,207248.0,3200.0,0.114,0,0,2,1
3252,6300,6300,6300.0,36,13.11,212.61,-2,1.0,33000.0,10441.2,0,3,0.0,0.0,21,0,14590,35.3,35,0.0,0.0,6594.85,6594.85,5070.14,1305.76,0.0,218.95,39.411,212.61,0,0.0,1,0,0.0,50456.0,41300.0,0.316,1,0,2,1
3254,11200,11200,11200.0,36,13.11,377.97,-2,6.0,55000.0,10873.5,0,0,41.0,0.0,5,0,2817,62.6,18,0.0,0.0,13603.94409,13603.94,11200.0,2403.94,0.0,0.0,0.0,385.7,0,41.0,1,0,0.0,209672.0,4500.0,0.198,0,0,2,1
3257,6000,6000,6000.0,36,13.11,202.49,-2,8.0,39000.0,12199.2,0,1,0.0,0.0,13,0,12441,48.8,21,0.0,0.0,7243.751575,7243.75,6000.0,1243.75,0.0,0.0,0.0,1377.94,0,0.0,1,0,0.0,29735.0,25500.0,0.313,0,0,2,1
3258,12000,12000,12000.0,36,13.11,404.97,-2,7.0,93000.0,26625.9,1,1,21.0,0.0,9,0,21707,84.9,27,0.0,0.0,14011.570290000001,14011.57,12000.0,2011.57,0.0,0.0,0.0,6328.02,0,0.0,1,0,0.0,367169.0,44800.0,0.28600000000000003,0,0,2,1
3261,12700,12700,12700.0,36,13.11,428.59,-2,4.0,40500.0,5483.7,0,0,48.0,0.0,13,0,16933,55.9,25,0.0,0.0,13724.0,13724.0,11029.98,2694.02,0.0,0.0,0.0,439.92,0,0.0,1,0,0.0,16933.0,30300.0,0.135,1,0,2,1
3262,6000,6000,6000.0,36,13.11,202.49,-2,10.0,66200.0,8049.92,0,0,45.0,0.0,15,0,18945,82.0,41,0.0,0.0,7141.781106999999,7141.78,6000.0,1141.78,0.0,0.0,0.0,2490.63,0,0.0,1,0,0.0,286106.0,23100.0,0.122,0,0,2,1
3263,13000,13000,12750.0,36,13.11,438.72,-2,3.0,68000.0,18768.0,0,0,51.0,0.0,17,0,19654,70.2,49,0.0,0.0,15793.10271,15489.41,13000.0,2793.1,0.0,0.0,0.0,439.43,0,0.0,1,0,0.0,352125.0,28000.0,0.276,0,0,2,1
3266,12300,12300,12300.0,36,13.11,415.09,-2,4.0,35722.0,6301.36,0,0,36.0,0.0,16,0,11777,48.3,18,0.0,0.0,14942.46856,14942.47,12300.0,2642.47,0.0,0.0,0.0,416.87,0,0.0,1,0,0.0,13818.0,24400.0,0.17600000000000002,0,0,2,1
3270,7000,7000,7000.0,36,13.11,236.23,-2,10.0,115000.0,14662.5,0,1,80.0,0.0,10,0,20977,80.9,15,0.0,0.0,8502.447058,8502.45,7000.0,1502.45,0.0,0.0,0.0,241.2,0,80.0,1,0,0.0,59081.0,25924.0,0.128,0,0,2,1
3273,8000,8000,8000.0,36,13.11,269.98,-2,10.0,84000.0,21579.6,1,0,19.0,0.0,9,0,17687,84.2,36,0.0,0.0,9694.169569,9694.17,8000.0,1694.17,0.0,0.0,0.0,1326.26,0,0.0,1,0,0.0,248929.0,21000.0,0.257,0,0,2,1
3274,4800,4800,4800.0,36,13.11,161.99,-2,0.0,39000.0,13572.0,0,0,27.0,0.0,13,0,18385,72.7,52,0.0,0.0,5779.007567000002,5779.01,4800.0,979.01,0.0,0.0,0.0,1410.38,0,27.0,1,0,0.0,22431.0,25300.0,0.348,0,0,2,1
3276,9950,9950,9925.0,36,13.11,335.79,-2,10.0,30000.0,7263.0,0,1,0.0,0.0,17,0,16618,74.9,18,0.0,0.0,11854.59241,11824.82,9950.0,1904.59,0.0,0.0,0.0,3804.92,0,0.0,1,0,0.0,66109.0,22200.0,0.242,0,0,2,1
3282,2500,2500,2500.0,36,13.11,84.37,-2,10.0,75000.0,10935.0,0,0,0.0,0.0,13,0,15848,74.4,43,0.0,0.0,3036.495366,3036.5,2500.0,536.5,0.0,0.0,0.0,86.27,0,0.0,1,0,253.0,211945.0,21300.0,0.146,0,0,2,1
3283,10000,10000,10000.0,36,13.11,337.47,-2,10.0,44000.0,5508.8,0,0,41.0,0.0,10,0,9176,59.6,26,0.0,0.0,8629.0,8629.0,6219.76,1873.92,0.0,535.32,96.3576,337.47,0,44.0,1,0,0.0,192811.0,15400.0,0.125,1,0,2,1
3287,4750,4750,4750.0,36,13.11,160.3,-2,5.0,18000.0,5927.4,0,0,72.0,0.0,10,0,14692,56.1,14,0.0,0.0,5769.426796,5769.43,4750.0,1019.43,0.0,0.0,0.0,163.86,0,72.0,1,0,0.0,14692.0,26200.0,0.329,0,0,2,1
3289,4200,4200,4200.0,36,13.11,141.74,-2,3.0,45000.0,9256.5,0,1,73.0,0.0,14,0,8475,60.5,23,0.0,0.0,5101.45262,5101.45,4200.0,901.45,0.0,0.0,0.0,144.63,0,74.0,1,0,0.0,24088.0,14000.0,0.206,0,0,2,1
3290,10000,10000,10000.0,36,13.11,337.47,-2,10.0,52000.0,8881.6,0,0,0.0,0.0,8,0,15194,86.8,30,0.0,0.0,12148.147079999999,12148.15,10000.0,2148.15,0.0,0.0,0.0,339.59,0,0.0,1,0,0.0,215166.0,17500.0,0.171,0,0,2,1
3292,10225,10225,10225.0,36,13.11,345.07,-2,10.0,43000.0,10354.4,0,3,68.0,0.0,10,0,21946,52.0,22,0.0,0.0,11223.24,11223.24,10225.0,998.24,0.0,0.0,0.0,8124.59,0,68.0,1,0,0.0,31059.0,42200.0,0.241,0,0,2,1
3296,8000,8000,8000.0,36,13.11,269.98,-2,7.0,50000.0,10080.0,0,1,52.0,0.0,12,0,8485,52.4,47,0.0,0.0,9716.88243,9716.88,8000.0,1716.88,0.0,0.0,0.0,275.9,0,52.0,1,0,90.0,17044.0,16200.0,0.202,0,0,2,1
3300,5000,5000,5000.0,36,13.11,168.74,-2,10.0,82000.0,9093.8,0,0,40.0,0.0,13,0,3254,56.1,26,0.0,0.0,6072.96831,6072.97,5000.0,1072.97,0.0,0.0,0.0,172.51,0,40.0,1,0,0.0,42830.0,5800.0,0.111,0,0,2,1
3308,5525,5525,5525.0,36,6.0,159.91,-2,7.0,70000.0,9695.0,0,1,57.0,0.0,12,0,18531,65.7,22,0.0,0.0,6426.923327,6426.92,5525.0,901.92,0.0,0.0,0.0,147.54,0,60.0,1,0,0.0,44255.0,28215.0,0.138,0,0,2,1
3314,4700,4700,4700.0,36,13.11,158.62,-2,10.0,59000.0,10330.9,0,1,0.0,0.0,12,0,21702,58.3,29,0.0,0.0,5673.613612,5673.61,4700.0,973.61,0.0,0.0,0.0,127.36,0,0.0,1,0,0.0,165518.0,37200.0,0.175,0,0,2,1
3315,11675,11675,11675.0,36,13.11,394.0,-2,4.0,35000.0,7234.5,0,0,0.0,0.0,17,0,7779,51.5,23,0.0,0.0,10631.71,10631.71,8310.71,2321.0,0.0,0.0,0.0,394.0,0,0.0,1,0,0.0,14463.0,15100.0,0.207,1,0,2,1
3316,5700,5700,5700.0,36,13.11,192.36,-2,6.0,155000.0,24242.0,1,1,19.0,0.0,15,0,17951,75.1,28,0.0,0.0,6923.303272,6923.3,5700.0,1223.3,0.0,0.0,0.0,196.65,0,0.0,1,0,0.0,406034.0,23900.0,0.156,0,0,2,1
3317,14000,14000,14000.0,36,13.11,472.46,-2,5.0,185000.0,40089.5,0,2,33.0,0.0,15,0,36928,85.5,42,0.0,0.0,17006.89283,17006.89,14000.0,3006.89,0.0,0.0,0.0,476.74,0,0.0,1,0,0.0,251558.0,43200.0,0.217,0,0,2,1
3319,13475,13475,13450.0,36,13.11,454.75,-2,9.0,40000.0,7068.0,0,1,0.0,0.0,11,0,21631,73.4,31,0.0,0.0,5153.97,5144.43,3225.14,1314.06,0.0,614.77,6.1477,454.75,0,0.0,1,0,0.0,95717.0,29463.0,0.177,1,0,2,1
3332,10800,10800,10800.0,36,13.11,364.47,-2,10.0,105000.0,22365.0,0,1,0.0,0.0,17,0,43567,55.9,31,0.0,0.0,11943.58,11943.58,10800.0,1143.58,0.0,0.0,0.0,8305.07,0,0.0,1,0,0.0,197199.0,78000.0,0.213,0,0,2,1
3337,10000,10000,10000.0,36,13.11,337.47,-2,5.0,95000.0,16881.5,0,2,45.0,0.0,14,0,10058,57.5,43,0.0,0.0,10976.44,10976.44,10000.0,976.44,0.0,0.0,0.0,7945.45,0,61.0,1,0,0.0,341893.0,17500.0,0.17800000000000002,0,0,2,1
3338,8000,8000,8000.0,36,13.11,269.98,-2,1.0,360000.0,31824.0,0,3,0.0,0.0,14,0,36452,68.0,24,0.0,0.0,9032.42,9032.42,8000.0,1032.42,0.0,0.0,0.0,5530.71,0,0.0,1,0,0.0,1454961.0,53600.0,0.08800000000000001,0,0,2,1
3340,11300,11300,11300.0,36,13.11,381.35,-2,10.0,37000.0,5964.4,0,1,0.0,0.0,15,0,9636,46.1,21,0.0,0.0,13725.30248,13725.3,11300.0,2425.3,0.0,0.0,0.0,388.93,0,0.0,1,0,0.0,103569.0,20900.0,0.161,0,0,2,1
3345,2500,2500,2500.0,36,13.11,84.37,-2,5.0,124000.0,21600.8,3,0,13.0,0.0,4,0,1133,62.9,35,0.0,0.0,2873.701832,2873.7,2500.0,373.7,0.0,0.0,0.0,1527.69,0,13.0,1,0,0.0,7932.0,1800.0,0.174,0,0,2,1
3346,12000,12000,12000.0,36,13.11,404.97,-2,10.0,55500.0,7919.85,0,1,79.0,0.0,11,0,11786,43.3,20,0.0,0.0,14424.6495,14424.65,12000.0,2424.65,0.0,0.0,0.0,3500.49,0,0.0,1,0,128.0,172061.0,27200.0,0.14300000000000002,0,0,2,1
3363,3750,3750,3750.0,36,13.11,126.56,-2,6.0,62500.0,9450.0,0,0,36.0,0.0,18,0,15478,75.5,26,0.0,0.0,3908.35,3908.35,3750.0,158.35,0.0,0.0,0.0,3529.5,0,0.0,1,0,0.0,58939.0,20500.0,0.151,0,0,2,1
3364,12000,12000,12000.0,36,13.11,404.97,-2,2.0,42000.0,12948.6,0,2,0.0,0.0,17,0,7959,53.4,33,0.0,0.0,14501.0995,14501.1,12000.0,2501.1,0.0,0.0,0.0,2767.0,0,0.0,1,0,0.0,37807.0,14900.0,0.308,0,0,2,1
3367,7000,7000,7000.0,36,13.11,236.23,-2,10.0,48000.0,13200.0,0,2,0.0,0.0,10,0,18285,74.6,29,0.0,0.0,7851.73,7851.73,7000.0,851.73,0.0,0.0,0.0,5023.38,0,0.0,1,0,0.0,53461.0,24500.0,0.275,0,0,2,1
3374,10000,10000,10000.0,36,13.11,337.47,-2,1.0,40000.0,8352.0,0,0,78.0,0.0,11,0,11466,75.9,19,0.0,0.0,12147.96942,12147.97,10000.0,2147.97,0.0,0.0,0.0,340.09,0,78.0,1,0,0.0,26182.0,15100.0,0.209,0,0,2,1
3376,14400,14400,14400.0,36,13.11,485.96,-2,8.0,60000.0,6450.0,0,0,0.0,0.0,13,0,19772,71.6,29,0.0,0.0,10716.98,10716.98,7298.7,2416.25,0.0,1002.03,10.0203,485.96,0,0.0,1,0,0.0,111466.0,27600.0,0.108,1,0,2,1
3378,9000,9000,9000.0,36,13.11,303.73,-2,6.0,60000.0,14928.0,0,3,29.0,0.0,12,0,4621,29.4,26,0.0,0.0,10735.17602,10735.18,9000.0,1735.18,0.0,0.0,0.0,3454.67,0,29.0,1,0,62.0,54615.0,15700.0,0.249,0,0,2,1
